Nombre,Precio,Precio_Original,Ventas
 Xiaomi Pocophone F1 128gb+6ram Batería 4000mah Nuevo Msi ,"7,299",, 164 vendidos 
 Xiaomi Redmi Note 6 Pro 64gb 4gb Ram 4g Global Sellado ,"4,289",, 172 vendidos 
 Motorola One Xt1941-5 64gb 4gb Nuevo Sellado Libre Msi ,"4,669",, 208 vendidos 
 Blu Vivo One Plus 2019 - Pantalla De 6.2 Y Doble Camaras ,"2,499",, 100 vendidos 
 Samsung Galaxy S9 + Plus 64gb 6gb Libre Sellado Nuevo Msi ,"12,998",, 237 vendidos 
 Motorola Moto E4 Dorado Xt1767 16gb 2gbram + Tpu ,"2,099",, 227 vendidos 
 Huawei P20 Lite 32gb Dual Sim Nuevo Original Sellado Libre ,"4,879",, 591 vendidos 
 Celular Samsung Galaxy M30 64gb 4gb R 3 Camaras Gran Bateria ,"5,199"," 5,777 ", 2347 vendidos 
 Celular Motorola Moto E5 Play 16gb Ram 2gb 5.2 ,"1,998"," 2,220 ", 320 vendidos 
 Celular Xiaomi Redmi Note 7 64gb 4gb Ram 4g Lte Dual Sim ,"4,599"," 5,399 ", 847 vendidos - Hidalgo 
 Huawei P Smart 2019 32gb Dual Sim 3gb Ram Doble Camara Msi ,"4,499",, 218 vendidos 
 Mate 20 Pro 256gb | 8g Ram Dual Sim Triple Camara 40mp+20+8 ,"22,999",, 30 vendidos 
 Celular Xiaomi Redmi 6a 32gb 2gb Ram Dual Sim Version Global ,"2,804"," 3,299 ", 218 vendidos 
 Huawei Mate 20 Lite Camara Dual 64gb Nuevo Sellado Libre ,"5,899",, 499 vendidos 
" Xiaomi Mi A2 Global Dual 64+4ram 12+20mpx Android 8, Meses ","4,050",, 371 vendidos 
 Celular Huawei P Smart 2019 32gb 3gb Ram Dual Sim ,"4,599",, 84 vendidos 
 Tablet Vak 98x 10' Octacore 64gb Doble Sim 4g Android 8mp ,"2,579",, 183 vendidos 
 Celular Huawei Y9 2019 64gb 3gb Ram 4g Lte Dual Sim ,"5,250",, 87 vendidos 
" Huawei Mate 20 Pro 128gb, 6gb Ram Solo At&t Nuevo Msi ","16,499",, 22 vendidos 
 Celular Motorola Moto E4 16gb 2gb Ram 4g Lte Liberado Demo ,"1,899",, 567 vendidos 
 Celular Xiaomi Mi 8 Lite 64gb + 4gb 24mpx Dual Sim 6.26 Fh ,"4,799",, 234 vendidos 
 Huawei Y9 2019 Dual Sim 4g Lte 64gb 4 Cámaras Funda Sellado ,"4,849",, 416 vendidos 
 Celular Motorola Moto G6 Play 4g Lte 16gb 2ram ,"2,799"," 3,599 ", 280 vendidos 
 Celular Xiaomi Mi A2 64gb 4gb Ram Version Global Dual Sim ,"4,199"," 5,599 ", 840 vendidos 
 Xiaomi Redmi Note 6 Pro 64gb Dual Sim Global Nuevo Libre ,"4,299",, 99 vendidos 
 Huawei P30 128gb + 6gb Ram + Regalo Watch Gt ,"15,949",, 137 vendidos 
 Celular Xiaomi Mi A2 Lite 64gb Dual Sim ,"4,490"," 4,988 ", 501 vendidos 
 Celular Apple Iphone 7 32gb + Funda Original ,"6,999",, 455 vendidos - Chihuahua 
 Xiaomi Redmi Note 5 32gb+3ram 5.99pg Dual Cámara Colores ,"3,750",, 732 vendidos 
 Moto E5 Play Con Desbloqueo De Huella + Mica De Cristal Temp ,"2,540",, 106 vendidos 
 Moto G6 Play 32g+3g Ram Lector Huella Camara 13m Nuevos ,"4,199",, 167 vendidos - Estado De México 
 Celular Lg G6 32gb 4gb Ram 4g Lte Demo ,"3,999"," 4,500 ", 140 vendidos 
 Celular Xiaomi Mi A2 Lite 32gb 3gb Ram Dual Sim ,"3,999"," 4,299 ", 113 vendidos 
 Motorola Moto E5 Plus 32gb 3gb Ram ,"3,499",, 201 vendidos 
 Honor 8x 64gb+4ram Dualsim Nuevo 4g Android 8.1 Sellado Msi ,"4,940",, 177 vendidos 
 Samsung Galaxy A7 2018 6pg 64gb+4ram 24+8+5mpx 24mpx Frontal ,"5,870",, 652 vendidos 
 Celular Xiaomi Redmi Note 6 Pro 64gb 4ram 4g Lte Dual Global ,"4,497"," 5,999 ", 992 vendidos 
 Huawei Mate 20 Lite Dual Sim 64gb 4gb Ram Nuevo Caja Sellada ,"5,888",, 438 vendidos 
 Samsung Galaxy J8 2018 Dual Sim 32gb Camara Dual 16+5mpx ,"4,999",, 88 vendidos 
 Celular Xiaomi Mi A2 Lite 5.8 64gb 4gb Ram Dual Sim 17 Mp ,"3,898",, 147 vendidos 
 Samsung Galaxy S9 4g 64+4ram 12.2+8mp Nuevo Colores ,"10,780",, 472 vendidos 
 Celular Htc 10 32gb 4gb Huella Gris Nuevo ,"3,299",, 74 vendidos 
 Samsung Galaxy S10+ Plus 128gb+8ram Exynos Nuevo Sellado ,"19,599",, 39 vendidos 
